Position,Distance(m),Init_S95(m2),Best_S95(m2),Reduction(%)
North,300.0,51.7462,50.3855,2.63
East,300.0,76.7100,76.2031,0.66
South,300.0,94.9014,94.2433,0.69
West,300.0,76.8345,76.1942,0.83
