# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 76.1408 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0333079 0.0339499
1 0.0207232 0.0213652
2 0.0147714 0.0154134
3 0.0130526 0.0136946
4 0.0159723 0.0166143
5 0.0224953 0.0231373
6 0.0365427 0.0371847
7 0.0219672 0.0226092
8 0.0100577 0.0106997
9 0.00428517 0.00492716
10 0.00223871 0.0028807
11 0.00455269 0.00519468
12 0.011121 0.011763
13 0.0235645 0.0242065
14 0.0196566 0.0202986
15 0.00743924 0.00808123
16 0.00151673 0.00215872
17 -0.000641992 0
18 0.00173595 0.00237795
19 0.0080865 0.00872849
20 0.0207091 0.0213511
21 0.0226909 0.0233329
22 0.0104517 0.0110937
23 0.00465087 0.00529287
24 0.00226656 0.00290856
25 0.00472859 0.00537058
26 0.0102075 0.0108495
27 0.0225847 0.0232267
28 0.0358018 0.0364438
29 0.022129 0.022771
30 0.0158887 0.0165307
31 0.0131771 0.0138191
32 0.015457 0.016099
33 0.0211015 0.0217435
34 0.0343655 0.0350075
