# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 50.4834 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.034723 0.035333
1 0.0220256 0.0226356
2 0.0156477 0.0162577
3 0.0137611 0.0143712
4 0.0158337 0.0164437
5 0.0223724 0.0229825
6 0.0347194 0.0353295
7 0.0235376 0.0241477
8 0.0117529 0.012363
9 0.00525449 0.00586456
10 0.00270642 0.00331649
11 0.00501599 0.00562606
12 0.0117486 0.0123587
13 0.0234771 0.0240872
14 0.0206039 0.021214
15 0.00856653 0.0091766
16 0.00179864 0.00240872
17 -0.000610072 0
18 0.00160353 0.0022136
19 0.00843204 0.00904211
20 0.0207486 0.0213587
21 0.0226033 0.0232134
22 0.0108921 0.0115022
23 0.00410715 0.00471722
24 0.00170057 0.00231064
25 0.00408252 0.00469259
26 0.0107045 0.0113146
27 0.0225118 0.0231219
28 0.0330115 0.0336216
29 0.0200131 0.0206232
30 0.0139399 0.01455
31 0.011319 0.0119291
32 0.0137662 0.0143763
33 0.0203488 0.0209589
34 0.033371 0.033981
