# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 76.2698 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0362315 0.0367301
1 0.0223358 0.0228344
2 0.0156899 0.0161885
3 0.0133414 0.01384
4 0.0154697 0.0159683
5 0.0211445 0.0216431
6 0.0340464 0.034545
7 0.0231511 0.0236497
8 0.0110564 0.011555
9 0.00496413 0.00546271
10 0.00256053 0.00305911
11 0.0047789 0.00527748
12 0.0104974 0.010996
13 0.022483 0.0229815
14 0.020098 0.0205966
15 0.00794391 0.00844248
16 0.001936 0.00243458
17 -0.000498578 0
18 0.00204456 0.00254313
19 0.00810969 0.00860827
20 0.0202959 0.0207944
21 0.0223314 0.0228299
22 0.0104182 0.0109168
23 0.00440063 0.00489921
24 0.00230947 0.00280805
25 0.00507592 0.0055745
26 0.0112613 0.0117599
27 0.023402 0.0239006
28 0.0338934 0.034392
29 0.020762 0.0212606
30 0.0151114 0.01561
31 0.0131301 0.0136287
32 0.0159492 0.0164478
33 0.0222405 0.0227391
34 0.0361927 0.0366913
