Position,Distance(m),Init_S95(m2),Best_S95(m2),Reduction(%)
North,300.0,51.7462,50.4834,2.44
East,300.0,76.7100,76.2698,0.57
South,300.0,94.9014,94.2611,0.67
West,300.0,76.8345,76.1408,0.90
