# Gravity-compensated bolt init: h* = h_shape + h_comp (closed form)
# Mirror: South_150m | sundir: 110_sundir_paper.txt
# idx  h_pipe(m)
0 0.05124825
1 0.03056080
2 0.02269954
3 0.01861257
4 0.02269072
5 0.03054407
6 0.05122133
7 0.03379862
8 0.01561338
9 0.00723483
10 0.00343919
11 0.00723054
12 0.01560507
13 0.03378593
14 0.03035615
15 0.01147370
16 0.00302814
17 -0.00066572
18 0.00302814
19 0.01147370
20 0.03035615
21 0.03378594
22 0.01560496
23 0.00722910
24 0.00343773
25 0.00723338
26 0.01561327
27 0.03379864
28 0.05123800
29 0.03056112
30 0.02270831
31 0.01862992
32 0.02271713
33 0.03057785
34 0.05126492
