# Gravity-compensated bolt init: h* = h_shape + h_comp (closed form)
# Mirror: West_600m | sundir: 110_sundir_paper.txt
# idx  h_pipe(m)
0 0.01716360
1 0.01058158
2 0.00800721
3 0.00717279
4 0.00943344
5 0.01328588
6 0.02151613
7 0.01189494
8 0.00565227
9 0.00254570
10 0.00146628
11 0.00323781
12 0.00699648
13 0.01394675
14 0.01161920
15 0.00479315
16 0.00131322
17 -0.00008107
18 0.00131322
19 0.00479315
20 0.01161920
21 0.01394677
22 0.00699647
23 0.00323735
24 0.00146583
25 0.00254524
26 0.00565226
27 0.01189497
28 0.02152158
29 0.01329186
30 0.00943969
31 0.00717891
32 0.00801345
33 0.01058756
34 0.01716905
