# Gravity-compensated bolt init: h* = h_shape + h_comp (closed form)
# Mirror: East_900m | sundir: 110_sundir_paper.txt
# idx  h_pipe(m)
0 0.01629719
1 0.01022858
2 0.00733007
3 0.00567846
4 0.00635964
5 0.00838854
6 0.01333567
7 0.01049507
8 0.00534676
9 0.00248303
10 0.00117842
11 0.00201211
12 0.00443214
13 0.00909899
14 0.00877294
15 0.00369891
16 0.00101809
17 -0.00002773
18 0.00101809
19 0.00369891
20 0.00877294
21 0.00909902
22 0.00443214
23 0.00201170
24 0.00117802
25 0.00248262
26 0.00534676
27 0.01049509
28 0.01334046
29 0.00839384
30 0.00636518
31 0.00568389
32 0.00733561
33 0.01023388
34 0.01630197
