mirror,h_shape_pv_mm,h_comp_pv_mm,h_star_max_abs_mm,gbar_slope_mrad,residual_slope_mrad,mean_slope_removed_pct,theta_min_deg,theta_max_deg
North_150m,50.584352211247264,0.7935525001837729,51.15538692361489,0.5199266455437666,0.4528699682396443,24.131256183568773,54.09140447331675,25.967079767621435
East_150m,52.05516161021243,2.26880069775651,53.655218053228566,1.4151811507123837,1.2234169285229763,25.264851759188534,55.02704464778663,3.2305598708042575
South_150m,48.855787591683146,3.321290180404844,51.26491915505944,2.058714699993637,1.774568063505814,25.699285243972415,45.69261528280078,0.8552474160188344
West_150m,52.66137882068339,2.268553012781285,54.26265608567113,1.4150099162777112,1.2232685613473895,25.264892799509454,55.060739866224026,3.228319862539743
North_300m,33.35890048764841,0.48436841663492153,33.074678025815125,0.2731436027302174,0.2175933024686636,36.53869764588742,64.51230710663033,36.11586387757773
East_300m,34.94305953116494,1.2443227185872068,35.87440868323411,0.8088645103008998,0.7120053365742891,22.515481969021035,65.17604249177177,2.2411480335046927
South_300m,32.373358535986426,2.2135981787861296,34.062691479706245,1.3937940112230958,1.2056299048807155,25.177737671313473,56.58432202789946,0.1654596622453939
West_300m,34.60392033947254,1.2437840748260292,35.54153403017838,0.8084461594495749,0.7116371522665726,22.515466672109806,65.2097917224226,2.254795115161502
North_600m,19.06203481604707,1.0190030195010595,18.390857419409503,0.584404584559643,0.4671165575510376,36.111411267011675,72.3375371026914,43.546513660891165
East_600m,21.003418760369776,0.519597040176978,21.394624688427513,0.40692108853456915,0.37836746370969104,13.5416043331693,72.60698791373903,2.1779793995407526
South_600m,20.085444250857307,1.2033633264573693,21.008142502955515,0.7815349338504487,0.6881848026091706,22.46221958266975,65.90047151051822,6.225873464811475
West_600m,21.13199478137962,0.518621355160008,21.521581780350687,0.40637321738931725,0.37789742573097207,13.523578014577332,72.64081177255207,1.9587850812866159
North_900m,13.157503340212102,1.1193931604607217,12.420974087376083,0.6371658323869505,0.5081526768645388,36.396139344383705,75.2760499928132,46.31274746069033
East_900m,16.084300312162757,0.28557776961935655,16.301973919001497,0.2950654417067335,0.2845482457645212,7.001674269617597,75.37334967450715,4.069513799159814
South_900m,17.056728161464136,0.8014969571694425,17.691626935968216,0.5543366609115282,0.49735622524518625,19.50147671425694,69.56955660396912,8.992020259215574
West_900m,16.061864593898566,0.2846019725940329,16.27883152444231,0.29458379457663286,0.2841217336366633,6.976814439512946,75.40720582180047,3.9283926311232045
North_1200m,9.762080605423415,1.1501348250327736,8.993256927545561,0.6532511008745125,0.5206078102707186,36.48722946200308,76.78437279747271,47.72889589164783
East_1200m,12.192219558742982,0.1745689311791139,12.313934482423514,0.25604930843483337,0.2506204575160033,4.195518989728697,76.78956642452818,5.387951194393235
South_1200m,12.26886403633364,0.6202063451640303,12.77111337682257,0.45156131844982117,0.4117235477327975,16.866139594890395,71.48189478729024,10.408166634808737
West_1200m,12.237090995182779,0.1738115252512519,12.358222113446926,0.2557336198698009,0.2503146636384529,4.193068402855127,76.82343980868123,5.261629344884991
