# Gravity-compensated bolt init: h* = h_shape + h_comp (closed form)
# Mirror: East_150m | sundir: 110_sundir_paper.txt
# idx  h_pipe(m)
0 0.05364204
1 0.03159361
2 0.02228629
3 0.01732157
4 0.02106590
5 0.02927962
6 0.04991772
7 0.03664932
8 0.01729660
9 0.00775164
10 0.00339322
11 0.00715943
12 0.01614640
13 0.03489365
14 0.03258172
15 0.01284660
16 0.00347519
17 -0.00050094
18 0.00347519
19 0.01284660
20 0.03258172
21 0.03489369
22 0.01614633
23 0.00715831
24 0.00339209
25 0.00775052
26 0.01729653
27 0.03664937
28 0.04993089
29 0.02929327
30 0.02108005
31 0.01733548
32 0.02230043
33 0.03160726
34 0.05365522
