# Gravity-compensated bolt init: h* = h_shape + h_comp (closed form)
# Mirror: West_1200m | sundir: 110_sundir_paper.txt
# idx  h_pipe(m)
0 0.00907820
1 0.00567755
2 0.00432224
3 0.00399967
4 0.00539559
5 0.00771274
6 0.01235381
7 0.00640898
8 0.00307796
9 0.00135438
10 0.00082463
11 0.00187525
12 0.00408958
13 0.00795313
14 0.00646928
15 0.00275563
16 0.00075934
17 -0.00001458
18 0.00075934
19 0.00275563
20 0.00646928
21 0.00795315
22 0.00408958
23 0.00187487
24 0.00082426
25 0.00135401
26 0.00307796
27 0.00640901
28 0.01235822
29 0.00771766
30 0.00540072
31 0.00400469
32 0.00432736
33 0.00568246
34 0.00908261
