# Gravity-compensated bolt init: h* = h_shape + h_comp (closed form)
# Mirror: South_300m | sundir: 110_sundir_paper.txt
# idx  h_pipe(m)
0 0.03404998
1 0.02130772
2 0.01658677
3 0.01409626
4 0.01658236
5 0.02129936
6 0.03403652
7 0.02107809
8 0.01004247
9 0.00494422
10 0.00266822
11 0.00494208
12 0.01003831
13 0.02107174
14 0.01847362
15 0.00699003
16 0.00184533
17 -0.00035860
18 0.00184533
19 0.00699003
20 0.01847362
21 0.02107173
22 0.01003824
23 0.00494099
24 0.00266712
25 0.00494313
26 0.01004240
27 0.02107807
28 0.03404923
29 0.02131257
30 0.01659604
31 0.01410972
32 0.01660045
33 0.02132093
34 0.03406269
