# Gravity-compensated bolt init: h* = h_shape + h_comp (closed form)
# Mirror: West_900m | sundir: 110_sundir_paper.txt
# idx  h_pipe(m)
0 0.01335740
1 0.00840273
2 0.00636712
3 0.00567867
4 0.00732284
5 0.01021489
6 0.01627405
7 0.00910913
8 0.00443938
9 0.00201585
10 0.00117869
11 0.00247963
12 0.00534014
13 0.01048405
14 0.00877247
15 0.00369924
16 0.00101825
17 -0.00002749
18 0.00101825
19 0.00369924
20 0.00877247
21 0.01048408
22 0.00534014
23 0.00247922
24 0.00117829
25 0.00201544
26 0.00443938
27 0.00910915
28 0.01627883
29 0.01022019
30 0.00732838
31 0.00568409
32 0.00637265
33 0.00840803
34 0.01336219
