# Gravity-compensated bolt init: h* = h_shape + h_comp (closed form)
# Mirror: North_150m | sundir: 110_sundir_paper.txt
# idx  h_pipe(m)
0 0.05114719
1 0.03073538
2 0.02162486
3 0.01729798
4 0.02161457
5 0.03071587
6 0.05111578
7 0.03576889
8 0.01736843
9 0.00775161
10 0.00374361
11 0.00774662
12 0.01735873
13 0.03575409
14 0.03257429
15 0.01354446
16 0.00377345
17 -0.00016034
18 0.00377345
19 0.01354446
20 0.03257429
21 0.03575411
22 0.01735873
23 0.00774598
24 0.00374298
25 0.00775098
26 0.01736843
27 0.03576892
28 0.05112398
29 0.03072462
30 0.02162379
31 0.01730696
32 0.02163408
33 0.03074413
34 0.05115539
