# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 52.0031 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0178223 0.0356331
1 0.00444048 0.0222513
2 -0.00206544 0.0157454
3 -0.00437204 0.0134388
4 -0.00227509 0.0155357
5 0.00394631 0.0217571
6 0.0175646 0.0353754
7 0.00665842 0.0244692
8 -0.00559339 0.0122174
9 -0.0123682 0.00544263
10 -0.0149473 0.00286353
11 -0.0125496 0.00526121
12 -0.00588687 0.0119239
13 0.00614555 0.0239564
14 0.00396829 0.0217791
15 -0.00835345 0.00945737
16 -0.0154188 0.00239204
17 -0.0178108 0
18 -0.0155627 0.00224814
19 -0.00870081 0.00911001
20 0.00398969 0.0218005
21 0.00646111 0.0242719
22 -0.00570396 0.0121069
23 -0.0125684 0.00524243
24 -0.0150221 0.0027887
25 -0.0124254 0.00538544
26 -0.00591258 0.0118982
27 0.00651605 0.0243269
28 0.0174496 0.0352605
29 0.0040809 0.0218917
30 -0.00216773 0.0156431
31 -0.00506479 0.012746
32 -0.00259028 0.0152205
33 0.00389262 0.0217034
34 0.0178616 0.0356724
