# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 76.2564 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0362334 0.0367423
1 0.022485 0.022994
2 0.0160205 0.0165295
3 0.0131732 0.0136822
4 0.0152019 0.0157109
5 0.0212441 0.0217531
6 0.0341312 0.0346401
7 0.0231945 0.0237034
8 0.0110544 0.0115634
9 0.00484323 0.0053522
10 0.00241954 0.00292851
11 0.00468105 0.00519002
12 0.0105769 0.0110859
13 0.0226082 0.0231172
14 0.0202055 0.0207145
15 0.00781509 0.00832407
16 0.00201701 0.00252598
17 -0.000508973 0
18 0.00202328 0.00253226
19 0.00817152 0.0086805
20 0.0204026 0.0209115
21 0.0222973 0.0228063
22 0.0103514 0.0108604
23 0.00438501 0.00489398
24 0.00231531 0.00282428
25 0.00515244 0.00566141
26 0.0112582 0.0117672
27 0.0234003 0.0239093
28 0.0338527 0.0343616
29 0.0206512 0.0211602
30 0.0151233 0.0156322
31 0.0130221 0.013531
32 0.0156736 0.0161825
33 0.0223067 0.0228157
34 0.0361428 0.0366518
