Position,Distance(m),Init_S95(m2),Best_S95(m2),Reduction(%)
North,300.0,51.7462,50.4611,2.48
East,300.0,76.7100,76.2431,0.61
South,300.0,94.9014,94.3367,0.60
West,300.0,76.8345,76.1497,0.89
