# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 68.7767 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0157258 0.0338412
1 0.00355399 0.0216694
2 -0.00270847 0.015407
3 -0.00452364 0.0135918
4 -0.0018411 0.0162743
5 0.0049849 0.0231003
6 0.0184061 0.0365215
7 0.00507001 0.0231855
8 -0.0063186 0.0117968
9 -0.0128424 0.00527304
10 -0.0151405 0.00297499
11 -0.0127761 0.0053393
12 -0.00601313 0.0121023
13 0.00592402 0.0240395
14 0.00287482 0.0209903
15 -0.00910049 0.00901495
16 -0.0157379 0.0023775
17 -0.0181154 0
18 -0.0158607 0.00225477
19 -0.00925275 0.00886269
20 0.00280539 0.0209208
21 0.00616973 0.0242852
22 -0.00594768 0.0121678
23 -0.0122973 0.00581812
24 -0.0149643 0.00315118
25 -0.0130575 0.00505795
26 -0.0067023 0.0114131
27 0.0049077 0.0230231
28 0.0185019 0.0366173
29 0.00536545 0.0234809
30 -0.00134413 0.0167713
31 -0.00436391 0.0137515
32 -0.00258897 0.0155265
33 0.00347245 0.0215879
34 0.0156525 0.033768
