# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 66.489 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0335893 0.0375827
1 0.0206171 0.0246105
2 0.0135725 0.017566
3 0.0116517 0.0156451
4 0.0154969 0.0194903
5 0.0242027 0.0281961
6 0.0403182 0.0443116
7 0.0223747 0.0263681
8 0.00918498 0.0131784
9 0.00219967 0.0061931
10 -0.000378684 0.00361474
11 0.00302038 0.00701381
12 0.011468 0.0154614
13 0.0260846 0.030078
14 0.0199336 0.023927
15 0.00630461 0.010298
16 -0.00151337 0.00248006
17 -0.00399343 0
18 -0.000785473 0.00320795
19 0.00741805 0.0114115
20 0.0215063 0.0254997
21 0.0244491 0.0284425
22 0.0106304 0.0146239
23 0.00285133 0.00684476
24 7.85354e-05 0.00407196
25 0.00273521 0.00672863
26 0.0105661 0.0145595
27 0.0246146 0.028608
28 0.0381321 0.0421256
29 0.0235673 0.0275607
30 0.0157926 0.019786
31 0.0125865 0.0165799
32 0.0148074 0.0188009
33 0.022366 0.0263594
34 0.0362257 0.0402191
