# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 47.5252 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0380047 0.0422113
1 0.0230954 0.0273019
2 0.0151021 0.0193086
3 0.0122878 0.0164943
4 0.0146609 0.0188675
5 0.0224344 0.0266409
6 0.0371824 0.0413889
7 0.0251293 0.0293358
8 0.0111066 0.0153131
9 0.0026045 0.00681102
10 -0.000406512 0.00380001
11 0.0024 0.00660653
12 0.0102966 0.0145031
13 0.0241529 0.0283595
14 0.0216369 0.0258434
15 0.00709486 0.0113014
16 -0.00138885 0.00281768
17 -0.00420652 0
18 -0.00171903 0.0024875
19 0.00639517 0.0106017
20 0.020694 0.0249006
21 0.0243848 0.0285913
22 0.0101861 0.0143926
23 0.00207627 0.00628279
24 -0.001045 0.00316153
25 0.00184602 0.00605254
26 0.00940104 0.0136076
27 0.0234694 0.0276759
28 0.0365876 0.0407941
29 0.0216879 0.0258944
30 0.0138483 0.0180549
31 0.0104294 0.0146359
32 0.0133789 0.0175854
33 0.0211389 0.0253455
34 0.0359803 0.0401868
