# LSQ elliptic fit bolt heights ¡ª PIPELINE convention (+Y away from receiver)
# Mirror: West_150m
# idx  h_pipe(m)
0 0.04992631
1 0.03088711
2 0.02221218
3 0.01854405
4 0.02342776
5 0.03319201
6 0.05363541
7 0.03486385
8 0.01731810
9 0.00783619
10 0.00420263
11 0.00842598
12 0.01846374
13 0.03661233
14 0.03230553
15 0.01385670
16 0.00390601
17 0.00004404
18 0.00390601
19 0.01385670
20 0.03230553
21 0.03661233
22 0.01846374
23 0.00842598
24 0.00420263
25 0.00783619
26 0.01731810
27 0.03486385
28 0.05363541
29 0.03319201
30 0.02342776
31 0.01854405
32 0.02221218
33 0.03088711
34 0.04992631
