# LSQ elliptic fit bolt heights ¡ª PIPELINE convention (+Y away from receiver)
# Mirror: West_300m
# idx  h_pipe(m)
0 0.03225658
1 0.02065890
2 0.01543730
3 0.01330540
4 0.01644277
5 0.02256542
6 0.03532460
7 0.02164573
8 0.01097856
9 0.00516070
10 0.00301172
11 0.00564856
12 0.01192620
13 0.02309200
14 0.01990129
15 0.00860267
16 0.00242867
17 0.00008233
18 0.00242867
19 0.00860267
20 0.01990129
21 0.02309200
22 0.01192620
23 0.00564856
24 0.00301172
25 0.00516070
26 0.01097856
27 0.02164573
28 0.03532460
29 0.02256542
30 0.01644277
31 0.01330540
32 0.01543730
33 0.02065890
34 0.03225658
