# LSQ elliptic fit bolt heights ¡ª PIPELINE convention (+Y away from receiver)
# Mirror: East_900m
# idx  h_pipe(m)
0 0.01641659
1 0.01045114
2 0.00749488
3 0.00583276
4 0.00650441
5 0.00857307
6 0.01339436
7 0.01060837
8 0.00552528
9 0.00262136
10 0.00132037
11 0.00214079
12 0.00459179
13 0.00918368
14 0.00881443
15 0.00380805
16 0.00107496
17 0.00003470
18 0.00107496
19 0.00380805
20 0.00881443
21 0.00918368
22 0.00459179
23 0.00214079
24 0.00132037
25 0.00262136
26 0.00552528
27 0.01060837
28 0.01339436
29 0.00857307
30 0.00650441
31 0.00583276
32 0.00749488
33 0.01045114
34 0.01641659
