# LSQ elliptic fit bolt heights ¡ª PIPELINE convention (+Y away from receiver)
# Mirror: South_1200m
# idx  h_pipe(m)
0 0.01259561
1 0.00867980
2 0.00686995
3 0.00602467
4 0.00686694
5 0.00867411
6 0.01258645
7 0.00749316
8 0.00407150
9 0.00210190
10 0.00136075
11 0.00210044
12 0.00406867
13 0.00748884
14 0.00636990
15 0.00281589
16 0.00079842
17 0.00007816
18 0.00079842
19 0.00281589
20 0.00636990
21 0.00748884
22 0.00406867
23 0.00210044
24 0.00136075
25 0.00210190
26 0.00407150
27 0.00749316
28 0.01258645
29 0.00867411
30 0.00686694
31 0.00602467
32 0.00686995
33 0.00867980
34 0.01259561
