# LSQ elliptic fit bolt heights ¡ª PIPELINE convention (+Y away from receiver)
# Mirror: North_150m
# idx  h_pipe(m)
0 0.05148921
1 0.03162008
2 0.02233367
3 0.01802504
4 0.02232316
5 0.03160016
6 0.05145716
7 0.03585676
8 0.01786517
9 0.00805187
10 0.00408625
11 0.00804677
12 0.01785527
13 0.03584164
14 0.03251431
15 0.01392367
16 0.00392363
17 0.00002558
18 0.00392363
19 0.01392367
20 0.03251431
21 0.03584164
22 0.01785527
23 0.00804677
24 0.00408625
25 0.00805187
26 0.01786517
27 0.03585676
28 0.05145716
29 0.03160016
30 0.02232316
31 0.01802504
32 0.02233367
33 0.03162008
34 0.05148921
