# LSQ elliptic fit bolt heights ¡ª PIPELINE convention (+Y away from receiver)
# Mirror: South_150m
# idx  h_pipe(m)
0 0.04988558
1 0.03200777
2 0.02368190
3 0.01981140
4 0.02367290
5 0.03199070
6 0.04985810
7 0.03288335
8 0.01687477
9 0.00799315
10 0.00448390
11 0.00798878
12 0.01686628
13 0.03287040
14 0.02920211
15 0.01263327
16 0.00356714
17 0.00012925
18 0.00356714
19 0.01263327
20 0.02920211
21 0.03287040
22 0.01686628
23 0.00798878
24 0.00448390
25 0.00799315
26 0.01687477
27 0.03288335
28 0.04985810
29 0.03199070
30 0.02367290
31 0.01981140
32 0.02368190
33 0.03200777
34 0.04988558
