# LSQ elliptic fit bolt heights ¡ª PIPELINE convention (+Y away from receiver)
# Mirror: North_600m
# idx  h_pipe(m)
0 0.01941708
1 0.01204799
2 0.00860587
3 0.00700708
4 0.00859836
5 0.01203376
6 0.01939418
7 0.01335333
8 0.00669780
9 0.00305376
10 0.00158784
11 0.00305012
12 0.00669073
13 0.01334254
14 0.01205068
15 0.00517203
16 0.00145810
17 0.00001906
18 0.00145810
19 0.00517203
20 0.01205068
21 0.01334254
22 0.00669073
23 0.00305012
24 0.00158784
25 0.00305376
26 0.00669780
27 0.01335333
28 0.01939418
29 0.01203376
30 0.00859836
31 0.00700708
32 0.00860587
33 0.01204799
34 0.01941708
