# LSQ elliptic fit bolt heights ¡ª PIPELINE convention (+Y away from receiver)
# Mirror: West_900m
# idx  h_pipe(m)
0 0.01341725
1 0.00858730
2 0.00651191
3 0.00583276
4 0.00748737
5 0.01043691
6 0.01639369
7 0.00919447
8 0.00459886
9 0.00214443
10 0.00132037
11 0.00261772
12 0.00551820
13 0.01059757
14 0.00881443
15 0.00380805
16 0.00107496
17 0.00003470
18 0.00107496
19 0.00380805
20 0.00881443
21 0.01059757
22 0.00551820
23 0.00261772
24 0.00132037
25 0.00214443
26 0.00459886
27 0.00919447
28 0.01639369
29 0.01043691
30 0.00748737
31 0.00583276
32 0.00651191
33 0.00858730
34 0.01341725
