# LSQ elliptic fit bolt heights ¡ª PIPELINE convention (+Y away from receiver)
# Mirror: South_600m
# idx  h_pipe(m)
0 0.02057097
1 0.01374445
2 0.01057755
3 0.00910129
4 0.01057155
5 0.01373307
6 0.02055265
7 0.01282088
8 0.00678585
9 0.00337244
10 0.00205732
11 0.00336953
12 0.00678019
13 0.01281224
14 0.01112510
15 0.00486778
16 0.00137750
17 0.00009482
18 0.00137750
19 0.00486778
20 0.01112510
21 0.01281224
22 0.00678019
23 0.00336953
24 0.00205732
25 0.00337244
26 0.00678585
27 0.01282088
28 0.02055265
29 0.01373307
30 0.01057155
31 0.00910129
32 0.01057755
33 0.01374445
34 0.02057097
