# LSQ elliptic fit bolt heights ¡ª PIPELINE convention (+Y away from receiver)
# Mirror: North_900m
# idx  h_pipe(m)
0 0.01341496
1 0.00843285
2 0.00610874
3 0.00502966
4 0.00610724
5 0.00843000
6 0.01341038
7 0.00907923
8 0.00459311
9 0.00212505
10 0.00113918
11 0.00212432
12 0.00459169
13 0.00907707
14 0.00814626
15 0.00350664
16 0.00098917
17 0.00002148
18 0.00098917
19 0.00350664
20 0.00814626
21 0.00907707
22 0.00459169
23 0.00212432
24 0.00113918
25 0.00212505
26 0.00459311
27 0.00907923
28 0.01341038
29 0.00843000
30 0.00610724
31 0.00502966
32 0.00610874
33 0.00843285
34 0.01341496
