# LSQ elliptic fit bolt heights ¡ª PIPELINE convention (+Y away from receiver)
# Mirror: East_300m
# idx  h_pipe(m)
0 0.03565918
1 0.02267868
2 0.01646132
3 0.01329809
4 0.01551587
5 0.02088598
6 0.03277432
7 0.02346949
8 0.01207473
9 0.00568783
10 0.00301056
11 0.00522910
12 0.01118367
13 0.02210956
14 0.02032393
15 0.00877512
16 0.00247679
17 0.00007557
18 0.00247679
19 0.00877512
20 0.02032393
21 0.02210956
22 0.01118367
23 0.00522910
24 0.00301056
25 0.00568783
26 0.01207473
27 0.02346949
28 0.03277432
29 0.02088598
30 0.01551587
31 0.01329809
32 0.01646132
33 0.02267868
34 0.03565918
