# LSQ elliptic fit bolt heights ¡ª PIPELINE convention (+Y away from receiver)
# Mirror: East_1200m
# idx  h_pipe(m)
0 0.01243384
1 0.00781815
2 0.00547517
3 0.00407651
4 0.00440966
5 0.00579781
6 0.00918265
7 0.00806311
8 0.00419842
9 0.00197254
10 0.00092323
11 0.00145556
12 0.00319422
13 0.00653049
14 0.00654142
15 0.00281715
16 0.00079475
17 0.00001835
18 0.00079475
19 0.00281715
20 0.00654142
21 0.00653049
22 0.00319422
23 0.00145556
24 0.00092323
25 0.00197254
26 0.00419842
27 0.00806311
28 0.00918265
29 0.00579781
30 0.00440966
31 0.00407651
32 0.00547517
33 0.00781815
34 0.01243384
