# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 81.5468 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.036057 0.0384392
1 0.0236214 0.0260036
2 0.0167891 0.0191713
3 0.0146092 0.0169914
4 0.0169722 0.0193544
5 0.0235271 0.0259093
6 0.0354028 0.037785
7 0.0223775 0.0247597
8 0.0111489 0.0135311
9 0.00401054 0.00639274
10 0.00190414 0.00428634
11 0.00399185 0.00637406
12 0.0109588 0.013341
13 0.0221981 0.0245803
14 0.0186874 0.0210696
15 0.00670196 0.00908416
16 -0.000350647 0.00203156
17 -0.0023822 0
18 -0.000480621 0.00190158
19 0.00661562 0.00899782
20 0.0180799 0.0204621
21 0.0216209 0.0240031
22 0.0102443 0.0126266
23 0.00354576 0.00592796
24 0.0015377 0.0039199
25 0.00339864 0.00578084
26 0.0101694 0.0125516
27 0.0214877 0.0238699
28 0.0340994 0.0364816
29 0.0224757 0.0248579
30 0.0155056 0.0178879
31 0.0135365 0.0159187
32 0.0154162 0.0177984
33 0.0220729 0.0244551
34 0.0340711 0.0364533
