step,s95,loss,move,accepted
0,46.5703,11356.928711,,1
1,46.2323,11307.652344,0.01m top8,1
2,46.219,11326.637695,0.01m top8,1
3,46.2323,11326.920898,0.01m top8,1
4,46.2501,11314.813477,0.03m top8,1
5,46.2635,11331.162109,0.03m top8,1
6,46.2768,11333.327148,0.01m top8,1
7,46.2724,11332.533203,0.01m top8,1
8,46.2546,11349.603516,0.01m top8,1
