round,n_bolts,lambda,k_del,accepted,s95_North,s95_East,s95_South,s95_West,s95_total
0,99,0.1,10,1,48.8742,71.8721,68.8727,81.4027,271.0217
1,89,0.1,10,1,46.2576,72.2548,69.5596,82.094,270.166
2,79,0.1,10,1,47.7042,75.1465,72.7089,87.039,282.59860000000003
3,69,0.1,10,0,48.8684,78.4238,75.0635,90.0587,292.4144
4,79,0.1,5,1,47.6722,75.1261,72.7045,87.0492,282.55199999999996
5,74,0.1,5,1,47.9778,75.5118,73.2284,87.8307,284.5487
6,69,0.1,5,0,49.1711,77.6044,75.1828,90.101,292.0593
7,74,0.1,2,1,47.9822,75.5045,73.2095,87.8307,284.5269
