# Fine-substep recalibrated alpha table (m04-only, m06/m02 hold-out)
# Generated from rom_b2_sweep_fine.csv
angle,alpha
10,1.2637
14,1.2636
18,1.2635
22,1.2633
26,1.2631
30,1.2629
34,1.2627
38,1.2600
42,0.9389
46,0.8318
50,0.8248
54,0.8166
58,0.8070
62,0.5308
66,0.5184
70,0.4074
73,0.3693
76,0.3592
78,0.3525
80,0.3459
