margin,mirror,init_s95,best_s95,reduction_pct
0.08,North,52.0191,50.6162,2.7
0.08,East,78.8691,78.4383,0.55
0.08,South,93.4219,92.8384,0.62
0.08,West,78.9826,78.3888,0.75
