iter,obj,slope_10,slope_58,px0,px1,px2,px3,px4,px5,px6,pz0,pz1,pz2,pz3,pz4
0,1.762138392122133,2.446433153977024,1.077843630267242,0.642,2.5680000000000005,4.494,6.42,8.346,10.272,12.198,0.4725,2.59875,4.725,6.85125,8.9775
1,1.7498822217584837,2.42875591101947,1.0710085324974976,0.6391137670992783,2.571881429049596,4.504649069978727,6.437416727378971,8.370184384757605,10.302952025498518,12.235719687394388,0.47092224672816374,2.589836721142668,4.708751195537654,6.827665669934589,8.946580144354156
2,1.7392855124184075,2.4158315460701285,1.0627394787666862,0.6403762739156718,2.5783588364184578,4.507224166759808,6.441037225466234,8.375394190339527,10.304787044302573,12.243375662984503,0.4697509632842968,2.5816988727246017,4.693665078906365,6.805628311323703,8.91757674792412
3,1.7321736108312726,2.40779301483636,1.0565542068261853,0.6421168533771757,2.5846029883675907,4.517004799098711,6.454776076507936,8.385394305059254,10.310725432640824,12.245892054470708,0.4687899474536699,2.574090256393302,4.679487136021528,6.785362526025491,8.892222421201282
4,1.739452977794775,2.419698551460622,1.0592074041289279,0.6440888692761679,2.591379619666622,4.528183651764143,6.470586343524701,8.396739377066112,10.317416733577522,12.248274922272811,0.46890731337841285,2.568128660335639,4.667761143485425,6.768827024324921,8.872669697477711
5,1.727288919798951,2.402598312202642,1.05197952739526,0.6461373652591171,2.5983098839136685,4.5397249649378555,6.486353436965495,8.408041862371974,10.323885198076395,12.250133748125354,0.4693835987367204,2.5629262474121512,4.657417452087777,6.754747988488528,8.857372577478078
6,1.7149625277454408,2.385113476774587,1.0448115787162946,0.6482327007376996,2.605357083738985,4.551535871153636,6.502673646648486,8.419971928118079,10.330963075599435,12.252515733681724,0.4700677257347695,2.5582745410005177,4.64810826013469,6.742434826442153,8.844913127046091
7,1.7216564434892367,2.3962104407995755,1.0471024461788982,0.6503411099501786,2.6124145247462547,4.5633987178716335,6.519167132461993,8.432150946049592,10.338346419171671,12.255217069330579,0.47087314160173765,2.5540419001147256,4.639602679386527,6.731422717940383,8.83439556822854
8,1.7339968745971397,2.4143408241395474,1.053652925054732,0.6524433747644315,2.619425098863591,4.575202942841548,6.535646900989237,8.444829574342458,10.346360573904569,12.25864936234241,0.4717680855722742,2.5503199833166343,4.632180575373239,6.722207430564497,8.826391249589328
9,1.7476647604791102,2.4318909658415255,1.063438555116695,0.6545287643883341,2.6263597230585094,4.586893398491902,6.552011334334836,8.457486503976874,10.354483628147513,12.262308027143373,0.47269067252329683,2.547488915309898,4.626730554857412,6.716041507309115,8.822164913590372
