step,s95,layout
0,46.4991,9x7_margin05.json
1,46.1567,p6_north_s01.json
3,46.2012,p6_north_s01.json
5,46.2012,p6_north_s01.json
7,46.2012,p6_north_s01.json
8,46.1879,p6_north_s08.json
9,46.2012,p6_north_s09.json
