iter,obj,slope_10,slope_58,px0,px1,px2,px3,px4,px5,px6,pz0,pz1,pz2,pz3,pz4
0,1.762138392122133,2.446433153977024,1.077843630267242,0.642,2.5680000000000005,4.494,6.42,8.346,10.272,12.198,0.4725,2.59875,4.725,6.85125,8.9775
1,1.7498822217584837,2.42875591101947,1.0710085324974976,0.6391137670992783,2.571881429049596,4.504649069978727,6.437416727378971,8.370184384757605,10.302952025498518,12.235719687394388,0.47092224672816374,2.589836721142668,4.708751195537654,6.827665669934589,8.946580144354156
2,1.7389385425195814,2.41539306618613,1.0624840188530331,0.6404395027065206,2.578683148021331,4.507353553419855,6.4412188958130105,8.375655357529482,10.304879614632387,12.243759701799934,0.4696925928545558,2.581292641712795,4.692911899690428,6.804528035614716,8.916128637919847
3,20.002922276996777,38.94625854156106,1.0595860124324963,0.642353653833069,2.5855442637802675,4.518113600394475,6.456344665343046,8.38667105907458,10.31142806056578,12.246543597133803,0.46863428322802736,2.572922887748816,4.677321943936565,6.7822518676474575,8.888267884911723
4,1.7415923275032033,2.4220963454100284,1.0610883095963781,0.6440450828298829,2.5925090960716424,4.529686892072488,6.473230746594248,8.400665056596516,10.32112529009054,12.252353783021086,0.46953216275592286,2.577776185149874,4.677843533957244,6.778491145006884,8.880234577705231
5,1.7321526712200188,2.4083434096801426,1.055961932759895,0.645486640222857,2.599771484499441,4.5421086872839656,6.491084335248031,8.414410017764128,10.32971209781499,12.256019899329283,0.470298030450632,2.58181254737545,4.67820774801621,6.775241184974708,8.873389700345152
6,1.733295518236866,2.41055391392501,1.0560371225487215,0.6467390241053037,2.6071773652006214,4.554982861545107,6.509852064211694,8.428281773497918,10.337937033587858,12.258758112006184,0.4709620115726394,2.5852134587842155,4.678428430518118,6.772348670287828,8.867410777765166
7,1.7345967732704537,2.4127431899724154,1.056450356568492,0.6478416062229935,2.6146633217480053,4.568171100110362,6.529260258349392,8.442508610044086,10.346229332564494,12.261239820627925,0.4715456729986879,2.588113566530956,4.678537719088642,6.7697408689763074,8.862118362053414
8,5.389901114093536,9.708629866945989,1.0711723612410824,0.6488222726078872,2.622221494791994,4.581656403398138,6.549195064931908,8.456910815679493,10.354495230774008,12.263474292007366,0.4720679436952114,2.590626451697698,4.678584046395026,6.767396807803761,8.85742096576297
9,1.7513983684452166,2.4349791973934125,1.0678175394970206,0.6497323362885885,2.628403375732042,4.593780671909698,6.5580923049689765,8.468821723547318,10.361962627207966,12.267172415162843,0.47294939823470517,2.5954766064936816,4.684610146834213,6.773780487360183,8.863807021993491
10,1.7517369005525483,2.4358176185575897,1.067656182547507,0.650551827333204,2.634381383976125,4.605634405928001,6.567088200693377,8.480389218198138,10.369255222248075,12.27096832038945,0.4737421103645617,2.599799781752102,4.689977944990823,6.779469530639746,8.869506631904482
11,1.757456979967603,2.443806644322669,1.0711073156125368,0.6512930748305432,2.640192969249307,4.6172885330743725,6.576211042223405,8.491719594389401,10.376468321956065,12.27491110882479,0.47445668746326297,2.603661075256837,4.694767768195202,6.784548572057403,8.874603962885292
12,1.752217421873366,2.435645499499398,1.0687893442473337,0.6519660348354677,2.645870063049106,4.62877116681073,6.585436050940638,8.502808557331335,10.383562588930223,12.278927092857526,0.47510219377842333,2.607115053103408,4.699047508662156,6.789089483769056,8.879170771901428
13,1.7683353259425492,2.4660848562509132,1.070585795634185,0.6525783010915894,2.6513832262983663,4.639981121231345,6.594617399102289,8.513531161784162,10.390384601183545,12.282834056307468,0.4756858479949703,2.610204635159879,4.702869155019352,6.793145716429811,8.883257727929061
14,1.7521399159383768,2.4351108763674008,1.069168955509353,0.6531380712604123,2.6568362830337158,4.651191973609743,6.604052477404478,8.524347572618716,10.397552477383282,12.287292340514567,0.4761918652104935,2.612842297028572,4.706075907123196,6.79650523544903,8.88659056179024
15,1.7522999531461352,2.434822366987537,1.0697775393047335,0.6536498868848644,2.6621663927712085,4.662217145189524,6.613489940319519,8.534924587855054,10.404500580925783,12.2916493215392,0.47664980506987775,2.6151959696167926,4.7089283945003935,6.799493445360392,8.889561216812119
16,1.7593785075875423,2.4447674077691004,1.0739896074059843,0.6541188695677892,2.6673963323368497,4.673109944110816,6.622971169639063,8.545331699561574,10.411289483486717,12.295948882859648,0.4770655107458107,2.617300086053774,4.711470641738911,6.802157290706287,8.892216330194612
17,1.7763113568091857,2.469768796625534,1.0828539169928373,0.6545496302495135,2.6725607642095612,4.683953891700271,6.632567947997069,8.555651444388184,10.417989046807095,12.300247257224663,0.4774426121733704,2.6191763362927363,4.713729061439356,6.804524349870215,8.89458312931489
18,1.780559231524823,2.4730131250687157,1.0881053379809305,0.654945533646885,2.677685539813462,4.695009556000951,6.642575817979706,8.566244665555432,10.425123459571198,12.305079372203632,0.4777134260517937,2.6204345072598083,4.715057632904782,6.805757765290497,8.895608399342693
19,1.775914397845237,2.465818924662035,1.0860098710284387,0.655310219936936,2.6827272700156617,4.705854822650048,6.652481956361498,8.576536526971656,10.43192789839847,12.309646366423104,0.4779596935389095,2.6215444766272666,4.716216597026065,6.806828919639203,8.896497940176884
20,2.224395264579492,2.522171750052063,1.9266187791069216,0.6556462395013924,2.687654410419229,4.716400632237604,6.662177788584684,8.586422407557725,10.438294453827444,12.313830800957083,0.4781831257331831,2.622516195991204,4.717215376680701,6.807744865480215,8.897254477847241
