margin,mirror,init_s95,best_s95,reduction_pct
0.06,North,52.6463,51.0688,3.0
0.06,East,71.808,71.7775,0.04
0.06,South,81.7054,81.6429,0.08
0.06,West,72.0947,71.8561,0.33
