# LSQ elliptic fit bolt heights ¡ª PIPELINE convention (+Y away from receiver)
# Mirror: West_150m
# idx  h_pipe(m)
0 0.04906454
1 0.03020566
2 0.02159763
3 0.01796290
4 0.02278861
5 0.03246389
6 0.05269913
7 0.03446040
8 0.01706960
9 0.00767220
10 0.00406821
11 0.00825015
12 0.01819208
13 0.03617377
14 0.03200169
15 0.01372006
16 0.00386468
17 0.00003775
18 0.00386468
19 0.01372006
20 0.03200169
21 0.03617377
22 0.01819208
23 0.00825015
24 0.00406821
25 0.00767220
26 0.01706960
27 0.03446040
28 0.05269913
29 0.03246389
30 0.02278861
31 0.01796290
32 0.02159763
33 0.03020566
34 0.04906454
