# LSQ elliptic fit bolt heights ¡ª PIPELINE convention (+Y away from receiver)
# Mirror: South_600m
# idx  h_pipe(m)
0 0.02017598
1 0.01341817
2 0.01027720
3 0.00881725
4 0.01027132
5 0.01340702
6 0.02015803
7 0.01265896
8 0.00667690
9 0.00329585
10 0.00199210
11 0.00329300
12 0.00667135
13 0.01265050
14 0.01101948
15 0.00481831
16 0.00136201
17 0.00009054
18 0.00136201
19 0.00481831
20 0.01101948
21 0.01265050
22 0.00667135
23 0.00329300
24 0.00199210
25 0.00329585
26 0.00667690
27 0.01265896
28 0.02015803
29 0.01340702
30 0.01027132
31 0.00881725
32 0.01027720
33 0.01341817
34 0.02017598
