# LSQ elliptic fit bolt heights ¡ª PIPELINE convention (+Y away from receiver)
# Mirror: East_600m
# idx  h_pipe(m)
0 0.02104044
1 0.01327089
2 0.00939775
3 0.00719953
4 0.00801562
5 0.01065023
6 0.01682253
7 0.01372617
8 0.00711577
9 0.00333971
10 0.00162907
11 0.00266901
12 0.00581313
13 0.01173782
14 0.01140079
15 0.00491641
16 0.00138631
17 0.00003702
18 0.00138631
19 0.00491641
20 0.01140079
21 0.01173782
22 0.00581313
23 0.00266901
24 0.00162907
25 0.00333971
26 0.00711577
27 0.01372617
28 0.01682253
29 0.01065023
30 0.00801562
31 0.00719953
32 0.00939775
33 0.01327089
34 0.02104044
