# LSQ elliptic fit bolt heights ¡ª PIPELINE convention (+Y away from receiver)
# Mirror: West_600m
# idx  h_pipe(m)
0 0.01681554
1 0.01063250
2 0.00800044
3 0.00719850
4 0.00942668
5 0.01333680
6 0.02116807
7 0.01176562
8 0.00581737
9 0.00266591
10 0.00162890
11 0.00335802
12 0.00716158
13 0.01381742
14 0.01146061
15 0.00494082
16 0.00139313
17 0.00003607
18 0.00139313
19 0.00494082
20 0.01146061
21 0.01381742
22 0.00716158
23 0.00335802
24 0.00162890
25 0.00266591
26 0.00581737
27 0.01176562
28 0.02116807
29 0.01333680
30 0.00942668
31 0.00719850
32 0.00800044
33 0.01063250
34 0.01681554
