# LSQ elliptic fit bolt heights ¡ª PIPELINE convention (+Y away from receiver)
# Mirror: North_600m
# idx  h_pipe(m)
0 0.01907868
1 0.01178218
2 0.00836918
3 0.00678752
4 0.00836182
5 0.01176824
6 0.01905624
7 0.01319562
8 0.00660007
9 0.00298975
10 0.00153707
11 0.00298618
12 0.00659314
13 0.01318505
14 0.01193731
15 0.00512098
16 0.00144264
17 0.00001664
18 0.00144264
19 0.00512098
20 0.01193731
21 0.01318505
22 0.00659314
23 0.00298618
24 0.00153707
25 0.00298975
26 0.00660007
27 0.01319562
28 0.01905624
29 0.01176824
30 0.00836182
31 0.00678752
32 0.00836918
33 0.01178218
34 0.01907868
