# LSQ elliptic fit bolt heights ¡ª PIPELINE convention (+Y away from receiver)
# Mirror: South_1200m
# idx  h_pipe(m)
0 0.01234393
1 0.00846798
2 0.00667269
3 0.00583690
4 0.00666974
5 0.00846241
6 0.01233496
7 0.00739540
8 0.00400333
9 0.00205264
10 0.00131773
11 0.00205122
12 0.00400056
13 0.00739117
14 0.00630912
15 0.00278683
16 0.00078917
17 0.00007507
18 0.00078917
19 0.00278683
20 0.00630912
21 0.00739117
22 0.00400056
23 0.00205122
24 0.00131773
25 0.00205264
26 0.00400333
27 0.00739540
28 0.01233496
29 0.00846241
30 0.00666974
31 0.00583690
32 0.00667269
33 0.00846798
34 0.01234393
