# LSQ elliptic fit bolt heights ¡ª PIPELINE convention (+Y away from receiver)
# Mirror: East_1200m
# idx  h_pipe(m)
0 0.01220905
1 0.00764510
2 0.00532746
3 0.00394890
4 0.00428351
5 0.00566567
6 0.00902318
7 0.00796047
8 0.00413332
9 0.00193080
10 0.00089377
11 0.00142421
12 0.00314941
13 0.00645863
14 0.00647978
15 0.00278920
16 0.00078623
17 0.00001683
18 0.00078623
19 0.00278920
20 0.00647978
21 0.00645863
22 0.00314941
23 0.00142421
24 0.00089377
25 0.00193080
26 0.00413332
27 0.00796047
28 0.00902318
29 0.00566567
30 0.00428351
31 0.00394890
32 0.00532746
33 0.00764510
34 0.01220905
