# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 69.4971 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0157546 0.0337811
1 0.00365094 0.0216774
2 -0.00266367 0.0153628
3 -0.00452575 0.0135007
4 -0.00168994 0.0163365
5 0.00490669 0.0229332
6 0.0184893 0.0365157
7 0.00524085 0.0232673
8 -0.00636282 0.0116637
9 -0.0128147 0.00521181
10 -0.0150411 0.00298535
11 -0.0127878 0.00523868
12 -0.0060717 0.0119548
13 0.00642497 0.0244514
14 0.00283712 0.0208636
15 -0.00920374 0.00882273
16 -0.0156422 0.00238426
17 -0.0180265 0
18 -0.0158935 0.00213299
19 -0.0093472 0.00867927
20 0.00319343 0.0212199
21 0.00625118 0.0242776
22 -0.0058919 0.0121346
23 -0.0123403 0.00568615
24 -0.0147765 0.00324993
25 -0.0129564 0.00507009
26 -0.0067694 0.0112571
27 0.00516809 0.0231946
28 0.0183354 0.0363619
29 0.00496363 0.0229901
30 -0.00149593 0.0165305
31 -0.00459999 0.0134265
32 -0.00290374 0.0151227
33 0.00327799 0.0213045
34 0.0156906 0.033717
