# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 51.2915 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0178593 0.0357033
1 0.00457035 0.0224144
2 -0.0018731 0.0159709
3 -0.00427728 0.0135668
4 -0.00208009 0.0157639
5 0.00438061 0.0222246
6 0.0175323 0.0353764
7 0.00676173 0.0246058
8 -0.0054987 0.0123453
9 -0.0123238 0.00552022
10 -0.0149671 0.00287694
11 -0.0125562 0.00528784
12 -0.00583478 0.0120093
13 0.00604479 0.0238888
14 0.00392695 0.021771
15 -0.00841472 0.00942932
16 -0.0154052 0.00243888
17 -0.017844 0
18 -0.0155305 0.00231352
19 -0.00872295 0.00912109
20 0.00402628 0.0218703
21 0.00647041 0.0243144
22 -0.00557197 0.0122721
23 -0.0125388 0.00530528
24 -0.0149777 0.00286636
25 -0.0125607 0.00528334
26 -0.00585368 0.0119904
27 0.00628819 0.0241322
28 0.0172774 0.0351214
29 0.0042404 0.0220844
30 -0.00221603 0.015628
31 -0.00486682 0.0129772
32 -0.0022694 0.0155746
33 0.0040462 0.0218902
34 0.0177434 0.0355875
