# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 71.7775 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0317652 0.0325909
1 0.0199816 0.0208073
2 0.0142643 0.0150901
3 0.0129605 0.0137863
4 0.0162174 0.0170432
5 0.023394 0.0242197
6 0.0378296 0.0386553
7 0.0210798 0.0219056
8 0.0099476 0.0107733
9 0.00407329 0.00489904
10 0.00204453 0.00287027
11 0.00476387 0.00558961
12 0.0117895 0.0126153
13 0.0248487 0.0256744
14 0.0192202 0.0200459
15 0.00727428 0.00810003
16 0.00126131 0.00208705
17 -0.000825746 0
18 0.00180524 0.00263099
19 0.00867465 0.0095004
20 0.021184 0.0220097
21 0.0230076 0.0238334
22 0.0106027 0.0114284
23 0.00448122 0.00530696
24 0.00212827 0.00295402
25 0.00439518 0.00522093
26 0.0109826 0.0118083
27 0.0232215 0.0240472
28 0.0352729 0.0360986
29 0.0219402 0.0227659
30 0.0154838 0.0163096
31 0.012658 0.0134837
32 0.0150948 0.0159205
33 0.0209222 0.021748
34 0.0338735 0.0346992
