# Bolt heights — PIPELINE convention (+Y away from receiver)
# Best S95: 71.5301 m^2
# idx  h_pipe(m)  h_stroke(m)
0 0.0351198 0.0354799
1 0.0223259 0.022686
2 0.0164182 0.0167783
3 0.0144923 0.0148524
4 0.0169981 0.0173581
5 0.0235309 0.023891
6 0.0372589 0.0376189
7 0.0217422 0.0221023
8 0.0102887 0.0106487
9 0.00500023 0.0053603
10 0.00320911 0.00356919
11 0.0061515 0.00651158
12 0.0130542 0.0134143
13 0.0254566 0.0258167
14 0.0173 0.0176601
15 0.00625498 0.00661506
16 0.00112045 0.00148053
17 -0.000360078 0
18 0.00299509 0.00335517
19 0.0100893 0.0104494
20 0.022999 0.023359
21 0.0184172 0.0187773
22 0.0078598 0.00821988
23 0.00286509 0.00322517
24 0.00188137 0.00224145
25 0.00567799 0.00603807
26 0.0129702 0.0133302
27 0.0261521 0.0265122
28 0.0288921 0.0292522
29 0.0170737 0.0174338
30 0.0126167 0.0129767
31 0.0116981 0.0120581
32 0.015802 0.0161621
33 0.0235614 0.0239215
34 0.038124 0.038484
