# Gravity-compensated bolt init: h* = h_shape + h_comp (closed form)
# Mirror: South_600m | sundir: 36_sundir_fast.txt
# idx  h_pipe(m)
0 0.02103072
1 0.01317568
2 0.01018229
3 0.00862826
4 0.01017641
5 0.01316453
6 0.02101277
7 0.01311674
8 0.00629182
9 0.00306004
10 0.00163977
11 0.00305718
12 0.00628628
13 0.01310828
14 0.01153002
15 0.00443678
16 0.00117489
17 -0.00020138
18 0.00117489
19 0.00443678
20 0.01153002
21 0.01310833
22 0.00628624
23 0.00305631
24 0.00163889
25 0.00305916
26 0.00629178
27 0.01311679
28 0.02102317
29 0.01317544
30 0.01018775
31 0.00863940
32 0.01019363
33 0.01318659
34 0.02104112
