# Gravity-compensated bolt init: h* = h_shape + h_comp (closed form)
# Mirror: West_300m | sundir: 36_sundir_fast.txt
# idx  h_pipe(m)
0 0.03249270
1 0.01996253
2 0.01492002
3 0.01271742
4 0.01590516
5 0.02183044
6 0.03549908
7 0.02181936
8 0.01044622
9 0.00482014
10 0.00257687
11 0.00529819
12 0.01137469
13 0.02323659
14 0.02019193
15 0.00815092
16 0.00222024
17 -0.00020443
18 0.00222024
19 0.00815092
20 0.02019193
21 0.02323661
22 0.01137466
23 0.00529747
24 0.00257615
25 0.00481942
26 0.01044619
27 0.02181939
28 0.03550758
29 0.02183947
30 0.01591455
31 0.01272663
32 0.01492942
33 0.01997155
34 0.03250120
