# Gravity-compensated bolt init: h* = h_shape + h_comp (closed form)
# Mirror: North_1200m | sundir: 36_sundir_fast.txt
# idx  h_pipe(m)
0 0.00899785
1 0.00639583
2 0.00450580
3 0.00379821
4 0.00450286
5 0.00639025
6 0.00898887
7 0.00617002
8 0.00370033
9 0.00166758
10 0.00104377
11 0.00166616
12 0.00369756
13 0.00616579
14 0.00550819
15 0.00299478
16 0.00089978
17 0.00027997
18 0.00089978
19 0.00299478
20 0.00550819
21 0.00616581
22 0.00369759
23 0.00166622
24 0.00104385
25 0.00166765
26 0.00370037
27 0.00617004
28 0.00898799
29 0.00638987
30 0.00450249
31 0.00379783
32 0.00450543
33 0.00639544
34 0.00899697
