# Gravity-compensated bolt init: h* = h_shape + h_comp (closed form)
# Mirror: East_300m | sundir: 36_sundir_fast.txt
# idx  h_pipe(m)
0 0.03584606
1 0.02193901
2 0.01592205
3 0.01270677
4 0.01499573
5 0.02018260
6 0.03301916
7 0.02361941
8 0.01151587
9 0.00533357
10 0.00257006
11 0.00488405
12 0.01064283
13 0.02228680
14 0.02061927
15 0.00831472
16 0.00226418
17 -0.00021663
18 0.00226418
19 0.00831472
20 0.02061927
21 0.02228683
22 0.01064280
23 0.00488332
24 0.00256933
25 0.00533284
26 0.01151584
27 0.02361945
28 0.03302779
29 0.02019175
30 0.01500525
31 0.01271611
32 0.01593157
33 0.02194815
34 0.03585469
