# Gravity-compensated bolt init: h* = h_shape + h_comp (closed form)
# Mirror: North_600m | sundir: 36_sundir_fast.txt
# idx  h_pipe(m)
0 0.01839607
1 0.01211496
2 0.00857668
3 0.00708661
4 0.00856933
5 0.01210102
6 0.01837364
7 0.01265880
8 0.00688103
9 0.00310661
10 0.00176215
11 0.00310305
12 0.00687410
13 0.01264822
14 0.01138645
15 0.00545035
16 0.00158336
17 0.00025713
18 0.00158336
19 0.00545035
20 0.01138645
21 0.01264825
22 0.00687414
23 0.00310311
24 0.00176223
25 0.00310668
26 0.00688107
27 0.01265882
28 0.01837286
29 0.01210084
30 0.00856922
31 0.00708646
32 0.00857657
33 0.01211478
34 0.01839529
