# Gravity-compensated bolt init: h* = h_shape + h_comp (closed form)
# Mirror: South_1200m | sundir: 36_sundir_fast.txt
# idx  h_pipe(m)
0 0.01278484
1 0.00836071
2 0.00664119
3 0.00575921
4 0.00663825
5 0.00835513
6 0.01277587
7 0.00760655
8 0.00380130
9 0.00192076
10 0.00112769
11 0.00191933
12 0.00379853
13 0.00760232
14 0.00655260
15 0.00259540
16 0.00069366
17 -0.00007237
18 0.00069366
19 0.00259540
20 0.00655260
21 0.00760234
22 0.00379852
23 0.00191873
24 0.00112710
25 0.00192016
26 0.00380129
27 0.00760657
28 0.01278309
29 0.00836289
30 0.00664637
31 0.00576714
32 0.00664931
33 0.00836846
34 0.01279206
