# Gravity-compensated bolt init: h* = h_shape + h_comp (closed form)
# Mirror: South_300m | sundir: 36_sundir_fast.txt
# idx  h_pipe(m)
0 0.03410884
1 0.02128844
2 0.01657768
3 0.01408037
4 0.01657327
5 0.02128008
6 0.03409538
7 0.02111493
8 0.01001725
9 0.00493048
10 0.00264607
11 0.00492834
12 0.01001309
13 0.02110859
14 0.01851021
15 0.00696043
16 0.00182986
17 -0.00038166
18 0.00182986
19 0.00696043
20 0.01851021
21 0.02110859
22 0.01001302
23 0.00492723
24 0.00264494
25 0.00492937
26 0.01001718
27 0.02111493
28 0.03410847
29 0.02129365
30 0.01658733
31 0.01409420
32 0.01659174
33 0.02130202
34 0.03412193
