# Gravity-compensated bolt init: h* = h_shape + h_comp (closed form)
# Mirror: East_900m | sundir: 36_sundir_fast.txt
# idx  h_pipe(m)
0 0.01623645
1 0.01024252
2 0.00733384
3 0.00568857
4 0.00636341
5 0.00840248
6 0.01327493
7 0.01046394
8 0.00537364
9 0.00250012
10 0.00120348
11 0.00202920
12 0.00445902
13 0.00906787
14 0.00874042
15 0.00372766
16 0.00103390
17 -0.00000482
18 0.00103390
19 0.00372766
20 0.00874042
21 0.00906789
22 0.00445902
23 0.00202875
24 0.00120305
25 0.00249967
26 0.00537363
27 0.01046397
28 0.01328023
29 0.00840828
30 0.00636947
31 0.00569450
32 0.00733990
33 0.01024832
34 0.01624175
