mirror,h_shape_pv_mm,h_comp_pv_mm,h_star_max_abs_mm,gbar_slope_mrad,residual_slope_mrad,mean_slope_removed_pct,theta_min_deg,theta_max_deg
North_150m,50.584352211247264,0.7543839867785782,51.130819955099845,0.5079505356386279,0.4421743639634155,24.22180186877616,54.20483394821611,25.898685981261096
East_150m,52.05516161021243,2.2574403749318033,53.64780560976628,1.4092030313435764,1.2180754785360153,25.286124689240598,53.756561890994625,3.1295028415143964
South_150m,48.855787591683146,3.390318432536773,51.31244647828904,2.101614354185719,1.8113707045545013,25.713717240123955,44.49625864625539,1.085777004689305
West_150m,52.66137882068339,2.2409860713265943,54.24390502349884,1.3985770026542383,1.209002896514677,25.272248081818137,53.597590178431034,3.1888759453078492
North_300m,33.35890048764841,0.48398130152200614,33.07588902107516,0.2716310200927864,0.21590782292165805,36.82023192131331,64.62796578723912,36.0473316217413
East_300m,34.94305953116494,1.215924758404638,35.85468909828186,0.7909675240871189,0.6968659553516322,22.378650087139196,64.24077214403349,3.363866491804167
South_300m,32.373358535986426,2.302439162087472,34.12193378343342,1.444312190941215,1.2481901366788068,25.313976173988216,55.05013498009526,1.314603656149473
West_300m,34.60392033947254,1.1950144792358337,35.507584947039476,0.7789325623427454,0.6867402517668232,22.270604906137837,64.08323478371389,3.446957626683977
North_600m,19.06203481604707,1.0161684823941661,18.396071846158694,0.5869159283820513,0.47006123928823557,35.85584469882141,72.45452620206444,43.47807833949975
East_600m,21.003418760369776,0.4547065486034698,21.349581847090324,0.3716471781168469,0.3482510953146654,12.19418003088293,72.16528978247578,10.351537480139264
South_600m,20.085444250857307,1.2502526830998018,21.04111854963815,0.8072376231735583,0.7087599980487114,22.91043295774733,63.64294430374699,6.137619486635894
West_600m,21.13199478137962,0.43576743957465175,21.46357920634098,0.3611000524457537,0.33921606952043587,11.753450661777254,72.01336249511755,10.675268088439214
North_900m,13.157503340212102,1.1087473129071193,12.429562674586398,0.6358387870562464,0.5075230078216764,36.288557756206664,75.3934367614024,46.24437905241968
East_900m,16.084300312162757,0.20032426097322836,16.241745655665547,0.2556224853904057,0.24934626188432044,4.8502574913222185,75.14778504550428,13.108658599544231
South_900m,17.056728161464136,0.8461919615815492,17.722840033757606,0.5753265591883846,0.514348030837141,20.07450829483568,66.97289924201296,8.90321473070653
West_900m,16.061864593898566,0.18270843727027442,16.206608765347106,0.24915506768629644,0.24354401012969978,4.4533519932351435,74.9986417863054,13.437697326766937
North_1200m,9.762080605423415,1.1436583504943592,8.997848177260222,0.6500207142735218,0.5178170865751743,36.540249447879155,76.90193940850853,47.66056776490735
East_1200m,12.192219558742982,0.12417386264595016,12.243183648592108,0.22049937199868952,0.2168995227967379,3.238525164721384,76.67972835996575,14.53104523731488
South_1200m,12.26886403633364,0.6501701020313916,12.792064423489656,0.46836864265871575,0.42569095025917225,17.393691925928067,68.70054241843964,10.319346293040496
West_1200m,12.237090995182779,0.13313273031463885,12.276766741170354,0.21711540155157416,0.21334122874739064,3.4464336198247736,76.53213278546484,14.857107796185064
