# LSQ elliptic fit bolt heights ¡ª PIPELINE convention (+Y away from receiver)
# Mirror: North_150m
# idx  h_pipe(m)
0 0.05060410
1 0.03093017
2 0.02172253
3 0.01745988
4 0.02171224
5 0.03091066
6 0.05057269
7 0.03543684
8 0.01760786
9 0.00788505
10 0.00395542
11 0.00788005
12 0.01759816
13 0.03542204
14 0.03220873
15 0.01378673
16 0.00388233
17 0.00001975
18 0.00388233
19 0.01378673
20 0.03220873
21 0.03542204
22 0.01759816
23 0.00788005
24 0.00395542
25 0.00788505
26 0.01760786
27 0.03543684
28 0.05057269
29 0.03091066
30 0.02171224
31 0.01745988
32 0.02172253
33 0.03093017
34 0.05060410
