# LSQ elliptic fit bolt heights ¡ª PIPELINE convention (+Y away from receiver)
# Mirror: East_900m
# idx  h_pipe(m)
0 0.01611668
1 0.01021607
2 0.00728979
3 0.00565030
4 0.00631936
5 0.00837603
6 0.01315516
7 0.01047439
8 0.00543937
9 0.00256504
10 0.00127830
11 0.00209412
12 0.00452476
13 0.00907832
14 0.00873125
15 0.00377009
16 0.00106332
17 0.00003238
18 0.00106332
19 0.00377009
20 0.00873125
21 0.00907832
22 0.00452476
23 0.00209412
24 0.00127830
25 0.00256504
26 0.00543937
27 0.01047439
28 0.01315516
29 0.00837603
30 0.00631936
31 0.00565030
32 0.00728979
33 0.01021607
34 0.01611668
