# LSQ elliptic fit bolt heights ¡ª PIPELINE convention (+Y away from receiver)
# Mirror: North_900m
# idx  h_pipe(m)
0 0.01317712
1 0.00824423
2 0.00593967
3 0.00487219
4 0.00593819
5 0.00824145
6 0.01317263
7 0.00897085
8 0.00452499
9 0.00207985
10 0.00110282
11 0.00207914
12 0.00452361
13 0.00896873
14 0.00806951
15 0.00347187
16 0.00097858
17 0.00001962
18 0.00097858
19 0.00347187
20 0.00806951
21 0.00896873
22 0.00452361
23 0.00207914
24 0.00110282
25 0.00207985
26 0.00452499
27 0.00897085
28 0.01317263
29 0.00824145
30 0.00593819
31 0.00487219
32 0.00593967
33 0.00824423
34 0.01317712
